Country,Year,Homicide Rate,Total Emissions,Coal,Oil,Gas,Cement,Flaring,Emissions Per Capita,GDP per capita,Population,Homicide per capita,Homicide per emissions
Afghanistan,1990,0.84,2.024326,0.278464,1.271408,0.40304,0.045766,0.025648,0.189281,0.0,10694796.0,0.007854287262702346,0.414952927542303
Afghanistan,1991,1.04,1.914301,0.249627,1.204085,0.389125,0.045766,0.025697,0.178155,0.0,10745167.0,0.009678769999572831,0.543279243964246
Afghanistan,1992,1.1,1.482054,0.021984,1.029584,0.362736,0.045766,0.021984,0.122916,0.0,12057433.0,0.009123003213038796,0.742213171719789
Afghanistan,1993,1.15,1.486943,0.01832,1.047904,0.351744,0.046991,0.021984,0.106182,0.0,14003760.0,0.008212080184179106,0.7733988458199137
Afghanistan,1994,1.18,1.453829,0.014693,1.032171,0.337935,0.046991,0.022039,0.094065,0.0,15455555.0,0.007634795385866117,0.8116497882488243
Afghanistan,1995,1.2,1.417327,0.014656,1.011264,0.322432,0.046991,0.021984,0.086323,0.0,16418912.0,0.007308645055165653,0.8466641784147201
Afghanistan,1996,1.33,1.370104,0.007328,0.985616,0.307776,0.0474,0.021984,0.080092,0.0,17106595.0,0.0077747792591103025,0.9707292293139791
Afghanistan,1997,1.17,1.304152,0.003664,0.948976,0.282128,0.0474,0.021984,0.073313,0.0,17788819.0,0.006577165128275238,0.8971346898214319
Afghanistan,1998,1.13,1.278504,0.003664,0.941648,0.263808,0.0474,0.021984,0.069134,0.0,18493132.0,0.006110376544113782,0.8838454944216051
Afghanistan,1999,1.13,1.09164,0.003664,0.776768,0.241824,0.0474,0.021984,0.056671,0.0,19262847.0,0.005866214895440949,1.0351397896742516
Afghanistan,2000,1.12,1.047128,0.003664,0.78776,0.223504,0.010216,0.021984,0.053581,0.0,19542982.0,0.005730957537595849,1.0695922561520654
Afghanistan,2001,1.15,1.069098,0.069616,0.762112,0.208848,0.006538,0.021984,0.0543,0.0,19688632.0,0.0058409339968363465,1.0756731375421147
Afghanistan,2002,1.27,1.340995,0.055109,0.727438,0.547416,0.011033,0.0,0.063856,183.5327752,21000256.0,0.0060475453251617505,0.9470579681505151
Afghanistan,2003,1.37,1.559602,0.091813,0.991575,0.466408,0.009807,0.0,0.068871,200.4625667,22645130.0,0.006049865909358878,0.8784292402805333
Afghanistan,2004,1.4,1.237247,0.0916,0.908672,0.227168,0.009807,0.0,0.052529,221.6576042,23553551.0,0.0059439020468718285,1.1315444692935201
Afghanistan,2005,1.42,1.889507,0.106256,1.44728,0.32976,0.006211,0.0,0.077403,255.05512,24411191.0,0.005817004176486104,0.7515187824125552
Afghanistan,2006,1.47,2.159318,0.160944,1.656993,0.329204,0.012177,0.0,0.084869,274.0004865,25442944.0,0.005777633280173867,0.6807705025383015
Afghanistan,2007,1.5,2.799909,0.747456,1.733072,0.307776,0.011605,0.0,0.108091,375.0781281,25903301.0,0.005790767748095118,0.535731696994438
Afghanistan,2008,1.57,4.254477,1.078145,2.864051,0.29704,0.015242,0.0,0.160989,387.8491743,26427199.0,0.005940849047225929,0.36902303150304966
Afghanistan,2009,1.64,6.391888,1.5141,4.593624,0.271291,0.012872,0.0,0.233406,443.8451505,27385307.0,0.005988612798826757,0.25657520907750575
