Country,Year,Homicide Rate,Total Emissions,Coal,Oil,Gas,Cement,Flaring,Emissions Per Capita,GDP per capita,Population,Energy Consumption Coal,Energy Consumption Gas,Energy Consumption Oil,Energy Consumption Other,Energy Consumption Total,Energy Production Coal,Energy Production Gas,Energy Production Oil,Energy Production Other,Energy Production Total,Homicide per capita,Homicide per emissions,GDP,Energy Production to Consumption
Afghanistan,1990,0.84,2.024326,0.278464,1.271408,0.40304,0.045766,0.025648,0.189281,0.0,10694796.0,0.0021875719320339,0.0701506717850291,0.0281181857199,0.007863912,0.108320341436963,0.0020781933384178,0.1088905950095974,0.0,0.007863912,0.1188327003480153,0.007854287262702346,0.414952927542303,0.0,1.0970487977751617
Afghanistan,1991,1.04,1.914301,0.249627,1.204085,0.389125,0.045766,0.025697,0.178155,0.0,10745167.0,0.0019583978178318,0.011517,0.02640851194115,0.007554288,0.0474381977589818,0.001860477929613,0.011517,0.0,0.007127788,0.020505265929613,0.009678769999572831,0.543279243964246,0.0,0.432252212316194
Afghanistan,1992,1.1,1.482054,0.021984,1.029584,0.362736,0.045766,0.021984,0.122916,0.0,12057433.0,0.0001666721346023,0.0110924415,0.01468391411838,0.005338738,0.0312817657529823,0.0001583385280997,0.0110924415,0.0,0.004891766,0.0161425460280997,0.009123003213038796,0.742213171719789,0.0,0.5160369192573704
Afghanistan,1993,1.15,1.486943,0.01832,1.047904,0.351744,0.046991,0.021984,0.106182,0.0,14003760.0,0.0001458381414024,0.0110924415,0.01464402360995,0.00518643,0.0310687332513524,0.0001385462345313,0.0110924415,0.0,0.00484523,0.0160762177345313,0.008212080184179106,0.7733988458199137,0.0,0.5174403991457075
Afghanistan,1994,1.18,1.453829,0.014693,1.032171,0.337935,0.046991,0.022039,0.094065,0.0,15455555.0,0.0001250041482025,0.01108773,0.01361406660995,0.005254308,0.0300811087581525,0.000118753940963,0.01108773,0.0,0.004817572,0.016024055940963,0.007634795385866117,0.8116497882488243,0.0,0.5326949903939363
Afghanistan,1995,1.2,1.417327,0.014656,1.011264,0.322432,0.046991,0.021984,0.086323,0.0,16418912.0,0.0001041701550026,0.00739182,0.01319449910995,0.004657984,0.0253484732649526,9.896164739466924e-05,0.00739182,0.0,0.004248544,0.0117393256473946,0.007308645055165653,0.8466641784147201,0.0,0.4631176609608938
Afghanistan,1996,1.33,1.370104,0.007328,0.985616,0.307776,0.0474,0.021984,0.080092,0.0,17106595.0,6.25019795997577e-05,0.00850420515,0.01218545230398,0.00410806,0.0248602194335797,5.9376880705073264e-05,0.00850420515,0.0,0.00373274,0.012296322030705,0.0077747792591103025,0.9707292293139791,0.0,0.4946184028486837
Afghanistan,1997,1.17,1.304152,0.003664,0.948976,0.282128,0.0474,0.021984,0.073313,0.0,17788819.0,4.166798639983847e-05,0.00850420515,0.01149772912145,0.003629786,0.0236733882578498,3.958458713671551e-05,0.00850420515,0.0,0.003288586,0.0118323757371367,0.006577165128275238,0.8971346898214319,0.0,0.49981758454931907
Afghanistan,1998,1.13,1.278504,0.003664,0.941648,0.263808,0.0474,0.021984,0.069134,0.0,18493132.0,4.166798639983847e-05,0.00850420515,0.01109338212145,0.0034003,0.0230395552578498,3.958458713671551e-05,0.00850420515,0.0,0.0030591,0.0116028897371367,0.006110376544113782,0.8838454944216051,0.0,0.5036073659965066
Afghanistan,1999,1.13,1.09164,0.003664,0.776768,0.241824,0.0474,0.021984,0.056671,0.0,19262847.0,2.0833993199919235e-05,0.00850420515,0.01109339814,0.003409,0.0230274372831999,1.9792293568357757e-05,0.00850420515,0.0,0.0030678,0.0115917974435683,0.005866214895440949,1.0351397896742516,0.0,0.5033906856854329
